genre,time_bin,x_centered,y_centered,z_centered
edm,17.1000,0.6297,7.1603,-1.3111
edm,17.2000,0.9683,7.1824,-1.3726
edm,17.3000,0.9856,7.1955,-1.3725
edm,17.4000,0.5868,7.2298,-1.3106
edm,17.5000,0.7760,7.3433,-1.3489
edm,17.6000,0.6309,7.4072,-1.3280
edm,17.7000,1.0155,7.5272,-1.3890
edm,17.8000,1.0036,7.5744,-1.3730
edm,17.9000,0.6839,7.5621,-1.3032
edm,18.0000,0.8887,7.6882,-1.3377
edm,18.1000,0.7530,7.7405,-1.3039
edm,18.2000,1.0762,7.8650,-1.3624
edm,18.3000,1.0495,7.9089,-1.3623
edm,18.4000,0.6510,7.8855,-1.2990
edm,18.5000,0.7755,7.9708,-1.3381
edm,18.6000,0.6103,8.0177,-1.3124
edm,18.7000,0.9505,8.1155,-1.3814
edm,18.8000,0.9510,8.1233,-1.3798
edm,18.9000,0.6390,8.0910,-1.3102
edm,19.0000,0.8300,8.1477,-1.3295
edm,19.1000,0.6792,8.1870,-1.3005
edm,19.2000,1.0524,8.2730,-1.3569
edm,19.3000,1.0781,8.3030,-1.3566
edm,19.4000,0.7247,8.2418,-1.2873
edm,19.5000,0.8881,8.1772,-1.3179
edm,19.6000,0.6936,8.1060,-1.2900
edm,19.7000,1.0086,8.0564,-1.3453
edm,19.8000,0.9572,8.0571,-1.3530
edm,19.9000,0.6286,8.0352,-1.2937
edm,20.0000,0.7889,8.0525,-1.3216
edm,20.1000,0.6010,8.0827,-1.2913
edm,20.2000,0.9239,8.1503,-1.3521
edm,20.3000,0.9209,8.1770,-1.3591
edm,20.4000,0.5336,8.2052,-1.3119
edm,20.5000,0.6843,8.2250,-1.3497
edm,20.6000,0.5195,8.2361,-1.3207
edm,20.7000,0.8769,8.3044,-1.3926
edm,20.8000,0.8747,8.3985,-1.3986
edm,20.9000,0.5571,8.4812,-1.3569
edm,21.0000,0.7007,8.4452,-1.3985
edm,21.1000,0.5228,8.4912,-1.4025
edm,21.2000,0.8421,8.4851,-1.4777
edm,21.3000,0.9171,8.5321,-1.4834
edm,21.4000,0.6368,8.7302,-1.4277
edm,21.5000,0.8085,8.7913,-1.4425
edm,21.6000,0.6779,8.9956,-1.4379
edm,21.7000,1.0639,8.9748,-1.5104
edm,21.8000,1.0638,9.0704,-1.4944
edm,21.9000,0.7176,9.3251,-1.4339
edm,22.0000,0.9073,9.3313,-1.4488
edm,22.1000,0.7706,9.5204,-1.4274
edm,22.2000,1.1110,9.4891,-1.4838
edm,22.3000,1.1430,9.5882,-1.4852
edm,22.4000,0.8081,9.8056,-1.4317
edm,22.5000,0.9619,9.8021,-1.4548
edm,22.6000,0.7607,9.9339,-1.4411
edm,22.7000,1.1080,9.8397,-1.4944
edm,22.8000,1.0708,9.8456,-1.4719
edm,22.9000,0.7034,9.9715,-1.4323
edm,23.0000,0.8857,9.9514,-1.4839
edm,23.1000,0.7116,10.0294,-1.4666
edm,23.2000,1.0730,9.9773,-1.5288
edm,23.3000,1.1030,9.9712,-1.5303
edm,23.4000,0.7304,9.9943,-1.4737
edm,23.5000,0.9329,9.8476,-1.4930
edm,23.6000,0.7702,9.7891,-1.4680
edm,23.7000,1.1256,9.6399,-1.5234
edm,23.8000,1.1015,9.6062,-1.5337
edm,23.9000,0.7370,9.6202,-1.4823
edm,24.0000,0.8613,9.5367,-1.5109
edm,24.1000,0.6490,9.4718,-1.4770
edm,24.2000,0.9394,9.3987,-1.5495
edm,24.3000,0.9269,9.3466,-1.5482
edm,24.4000,0.5529,9.2496,-1.4684
edm,24.5000,0.7183,9.1316,-1.4817
edm,24.6000,0.5641,9.0293,-1.4391
edm,24.7000,0.9154,8.9293,-1.4965
edm,24.8000,0.9228,8.8566,-1.4829
edm,24.9000,0.6136,8.8673,-1.4262
edm,25.0000,0.8163,8.8792,-1.4574
edm,25.1000,0.6725,8.9316,-1.4418
edm,25.2000,1.0361,8.9562,-1.5058
edm,25.3000,1.0776,9.0479,-1.5137
edm,25.4000,0.7407,9.1472,-1.4598
edm,25.5000,0.9547,9.1683,-1.4935
edm,25.6000,0.8105,9.2330,-1.4751
edm,25.7000,1.1680,9.2667,-1.5316
edm,25.8000,1.1224,9.2992,-1.5321
edm,25.9000,0.7299,9.3342,-1.4850
edm,26.0000,0.9196,9.2754,-1.5212
edm,26.1000,0.7821,9.2195,-1.4991
edm,26.2000,1.2255,9.0713,-1.5539
edm,26.3000,1.3110,9.0015,-1.5515
edm,26.4000,0.9518,9.0238,-1.4924
edm,26.5000,1.1136,8.9535,-1.5218
edm,26.6000,0.8877,8.9395,-1.4986
edm,26.7000,1.1881,8.8775,-1.5545
edm,26.8000,1.1085,8.8801,-1.5478
edm,26.9000,0.7026,8.8623,-1.4927
edm,27.0000,0.8753,8.7494,-1.5217
edm,27.1000,0.7006,8.6621,-1.4971
edm,27.2000,1.1336,8.5647,-1.5471
edm,27.3000,1.1948,8.5250,-1.5380
edm,27.4000,0.8388,8.5819,-1.4818
edm,27.5000,1.0642,8.5969,-1.4977
edm,27.6000,0.8989,8.6663,-1.4727
edm,27.7000,1.3021,8.6805,-1.5349
edm,27.8000,1.2779,8.6768,-1.5253
edm,27.9000,0.8782,8.7306,-1.4800
edm,28.0000,1.0477,8.7256,-1.5173
edm,28.1000,0.8055,8.8161,-1.4984
edm,28.2000,1.1570,8.9096,-1.5658
edm,28.3000,1.1624,9.0108,-1.5809
edm,28.4000,0.7564,9.1304,-1.5343
edm,28.5000,0.9492,9.1361,-1.5654
edm,28.6000,0.7373,9.1705,-1.5297
edm,28.7000,1.1044,9.0951,-1.5836
edm,28.8000,1.0772,9.1159,-1.5935
edm,28.9000,0.7033,9.2493,-1.5641
edm,29.0000,0.8866,9.2209,-1.5958
edm,29.1000,0.7124,9.2017,-1.5765
edm,29.2000,1.1124,9.0971,-1.6167
edm,29.3000,1.1771,9.1676,-1.6289
edm,29.4000,0.8641,9.2732,-1.5835
edm,29.5000,1.0495,9.2845,-1.6108
edm,29.6000,0.8737,9.3004,-1.5770
edm,29.7000,1.2284,9.2704,-1.6205
edm,29.8000,1.1978,9.2681,-1.6050
edm,29.9000,0.8297,9.2502,-1.5576
edm,30.0000,0.9938,9.2396,-1.5866
edm,30.1000,0.8106,9.2137,-1.5574
edm,30.2000,1.1456,9.2065,-1.6181
edm,30.3000,1.1580,9.1800,-1.6223
edm,30.4000,0.8107,9.0968,-1.5607
edm,30.5000,1.0306,9.0117,-1.5882
edm,30.6000,0.8716,8.9055,-1.5592
edm,30.7000,1.2620,8.8844,-1.6034
edm,30.8000,1.2539,8.8655,-1.5993
edm,30.9000,0.8653,8.8917,-1.5557
edm,31.0000,1.0307,8.9698,-1.5831
edm,31.1000,0.8415,8.9794,-1.5569
